DeskName,JoanDeskId,Zone,Priority,Active
6-4A,d6b8272f-1f75-4f17-ad82-7d23946f42f3,IT-6th-floor,1,Yes
6-4B,5a744969-bac0-4310-a650-33f6d76eabec,IT-6th-floor,2,Yes
6-6A,8e9ac577-f87e-4205-8796-8bb99b351cd6,IT-6th-floor,3,Yes
6-6B,0919c4bf-a152-4dda-84c2-244319b25d82,IT-6th-floor,4,Yes
6-7A,b2b1090a-0298-49eb-b0b0-87fd15071db5,IT-6th-floor,5,Yes
6-7B,95c0737d-ef4d-4328-8a1f-56c82c607bc0,IT-6th-floor,6,Yes
6-13B,a1f91a96-dc3c-4a44-8ce8-8f5fdec03bbb,IT-6th-floor,7,Yes
6-14A,23907dc9-b51e-47e4-b489-f2b01542ee85,IT-6th-floor,8,Yes
6-14B,55d7cb12-084b-4c79-a234-60de9de25af0,IT-6th-floor,9,Yes
